epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.33749,0.98531,2.64904,1.31204,0.55859,0.85,0.87771,0.63475,1.65648,1.07053,1.37986,0,0,0
2,2.81373,1.0359,3.26313,1.38105,0.55588,0.85,0.88554,0.63516,1.66774,1.0681,1.38506,1.18215e-06,1.18215e-06,1.18215e-06
3,4.48044,1.37504,2.78184,1.77382,0.55098,0.85,0.84963,0.61708,1.6867,1.07736,1.39133,2.34858e-06,2.34858e-06,2.34858e-06
4,6.25267,1.49732,2.99963,2.07226,0.54808,0.85,0.85442,0.63765,1.69513,1.06983,1.39336,3.49931e-06,3.49931e-06,3.49931e-06
5,7.80751,1.48978,3.26931,1.93835,0.53905,0.85,0.8556,0.63813,1.67393,1.05095,1.36676,4.63434e-06,4.63434e-06,4.63434e-06
6,9.48054,1.17608,2.70579,1.47855,0.81698,0.64598,0.85883,0.6262,1.65392,1.04504,1.35417,5.75365e-06,5.75365e-06,5.75365e-06
7,11.2839,1.16082,2.38505,1.42359,0.5573,0.85,0.87301,0.62624,1.65381,1.04897,1.35575,6.85726e-06,6.85726e-06,6.85726e-06
8,12.9337,0.97876,2.43596,1.23853,0.58033,0.86499,0.85958,0.62778,1.65497,1.06169,1.35951,7.94515e-06,7.94515e-06,7.94515e-06
9,17.0226,1.11699,3.69248,1.47521,0.77989,0.65,0.89436,0.62928,1.63598,1.03979,1.34362,9.01734e-06,9.01734e-06,9.01734e-06
10,21.5297,1.00045,2.40998,1.2423,0.77046,0.65,0.89449,0.63083,1.63774,1.05012,1.34317,1.00738e-05,1.00738e-05,1.00738e-05
11,26.0206,1.13038,2.81244,1.39443,0.65724,0.77843,0.90973,0.6338,1.63712,1.05234,1.34026,1.11146e-05,1.11146e-05,1.11146e-05
12,30.6142,0.89006,2.14224,1.28077,0.66067,0.77905,0.91169,0.64542,1.63851,1.07505,1.34081,1.21397e-05,1.21397e-05,1.21397e-05
13,34.8415,0.90984,1.88808,1.43047,0.65723,0.77788,0.91167,0.64716,1.62101,1.08016,1.32952,1.3149e-05,1.3149e-05,1.3149e-05
14,39.0918,0.98808,2.21082,1.38358,0.706,0.74715,0.91242,0.6481,1.61349,1.08348,1.32819,1.41427e-05,1.41427e-05,1.41427e-05
15,43.1401,1.02592,1.84975,1.39314,0.70718,0.74964,0.91272,0.64828,1.61021,1.08922,1.32893,1.51206e-05,1.51206e-05,1.51206e-05
